State,Date,Total,Category
South Carolina,1/11/2020,"  108,607,871 ",Beverages
South Dakota,1/11/2020,"  15,798,141 ",Beverages
Tennessee,1/11/2020,"  146,919,256 ",Beverages
Texas,1/11/2020,"  499,850,544 ",Beverages
Utah,1/11/2020,"  47,922,674 ",Beverages
Vermont,1/11/2020,"  10,550,546 ",Beverages
Virginia,1/11/2020,"  165,112,481 ",Beverages
Washington,1/11/2020,"  108,548,730 ",Beverages
West Virginia,1/11/2020,"  40,916,621 ",Beverages
Wisconsin,1/11/2020,"  88,525,014 ",Beverages
Wyoming,1/11/2020,"  12,429,956 ",Beverages
Alabama,2/2/2020,"  108,358,280 ",Beverages
Arizona,2/2/2020,"  115,328,264 ",Beverages
Arkansas,2/2/2020,"  58,093,735 ",Beverages
California,2/2/2020,"  467,920,813 ",Beverages
Colorado,2/2/2020,"  96,637,422 ",Beverages
Connecticut,2/2/2020,"  47,694,239 ",Beverages
Florida,2/2/2020,"  384,924,916 ",Beverages
Georgia,2/2/2020,"  200,642,376 ",Beverages
Illinois,2/2/2020,"  171,263,875 ",Beverages
Indiana,2/2/2020,"  116,658,532 ",Beverages
Iowa,2/2/2020,"  60,863,495 ",Beverages
Kansas,2/2/2020,"  48,454,430 ",Beverages
Kentucky,2/2/2020,"  90,383,282 ",Beverages
Louisiana,2/2/2020,"  93,133,151 ",Beverages
Maine,2/2/2020,"  24,839,107 ",Beverages
Maryland,2/2/2020,"  87,410,693 ",Beverages
Massachusetts,2/2/2020,"  98,287,115 ",Beverages
Michigan,2/2/2020,"  158,579,175 ",Beverages
Minnesota,2/2/2020,"  86,519,041 ",Beverages
Mississippi,2/2/2020,"  70,528,160 ",Beverages
Missouri,2/2/2020,"  102,451,507 ",Beverages
Nebraska,2/2/2020,"  33,877,399 ",Beverages
Nevada,2/2/2020,"  53,906,524 ",Beverages
New Hampshire,2/2/2020,"  29,896,449 ",Beverages
New Mexico,2/2/2020,"  37,201,589 ",Beverages
New York,2/2/2020,"  240,088,803 ",Beverages
North Carolina,2/2/2020,"  186,628,120 ",Beverages
Ohio,2/2/2020,"  194,171,999 ",Beverages
Oklahoma,2/2/2020,"  76,740,454 ",Beverages
Oregon,2/2/2020,"  60,557,263 ",Beverages
Pennsylvania,2/2/2020,"  192,603,195 ",Beverages
Rhode Island,2/2/2020,"  13,718,697 ",Beverages
South Carolina,2/2/2020,"  97,486,877 ",Beverages
South Dakota,2/2/2020,"  15,408,970 ",Beverages
Tennessee,2/2/2020,"  132,609,604 ",Beverages
Texas,2/2/2020,"  471,958,590 ",Beverages
Utah,2/2/2020,"  46,361,419 ",Beverages
Vermont,2/2/2020,"  10,422,771 ",Beverages
Virginia,2/2/2020,"  150,953,057 ",Beverages
Washington,2/2/2020,"  104,126,832 ",Beverages
West Virginia,2/2/2020,"  37,965,137 ",Beverages
Wisconsin,2/2/2020,"  83,991,230 ",Beverages
Wyoming,2/2/2020,"  12,232,547 ",Beverages
Alabama,2/8/2020,"  131,945,461 ",Beverages
Arizona,2/8/2020,"  135,907,144 ",Beverages
Arkansas,2/8/2020,"  70,280,652 ",Beverages
California,2/8/2020,"  571,725,103 ",Beverages
Colorado,2/8/2020,"  116,777,704 ",Beverages
Connecticut,2/8/2020,"  61,118,341 ",Beverages
Florida,2/8/2020,"  430,782,300 ",Beverages
Georgia,2/8/2020,"  248,666,926 ",Beverages
Illinois,2/8/2020,"  201,691,236 ",Beverages
Indiana,2/8/2020,"  140,146,752 ",Beverages
Iowa,2/8/2020,"  75,647,606 ",Beverages
Kansas,2/8/2020,"  55,336,553 ",Beverages
Kentucky,2/8/2020,"  108,364,954 ",Beverages
Louisiana,2/8/2020,"  109,735,019 ",Beverages
Maine,2/8/2020,"  35,887,496 ",Beverages
Maryland,2/8/2020,"  107,791,835 ",Beverages
Massachusetts,2/8/2020,"  126,577,658 ",Beverages
Michigan,2/8/2020,"  195,412,528 ",Beverages
Minnesota,2/8/2020,"  103,683,539 ",Beverages
Mississippi,2/8/2020,"  84,643,249 ",Beverages
Missouri,2/8/2020,"  120,643,198 ",Beverages
Nebraska,2/8/2020,"  38,613,430 ",Beverages
Nevada,2/8/2020,"  66,665,727 ",Beverages
New Hampshire,2/8/2020,"  39,238,217 ",Beverages
New Mexico,2/8/2020,"  45,176,656 ",Beverages
New York,2/8/2020,"  303,165,565 ",Beverages
North Carolina,2/8/2020,"  234,057,033 ",Beverages
Ohio,2/8/2020,"  238,840,787 ",Beverages
Oklahoma,2/8/2020,"  90,586,373 ",Beverages
Oregon,2/8/2020,"  80,871,404 ",Beverages
Pennsylvania,2/8/2020,"  240,341,151 ",Beverages
Rhode Island,2/8/2020,"  18,638,117 ",Beverages
South Carolina,2/8/2020,"  125,876,673 ",Beverages
South Dakota,2/8/2020,"  19,718,838 ",Beverages
Tennessee,2/8/2020,"  164,098,352 ",Beverages
Texas,2/8/2020,"  566,934,225 ",Beverages
Utah,2/8/2020,"  55,710,475 ",Beverages
Vermont,2/8/2020,"  13,621,460 ",Beverages
Virginia,2/8/2020,"  187,624,235 ",Beverages
Washington,2/8/2020,"  133,188,125 ",Beverages
West Virginia,2/8/2020,"  46,797,382 ",Beverages
Wisconsin,2/8/2020,"  103,478,200 ",Beverages
Wyoming,2/8/2020,"  15,876,121 ",Beverages
Alabama,3/5/2020,"  128,066,131 ",Beverages
Arizona,3/5/2020,"  134,864,797 ",Beverages
Arkansas,3/5/2020,"  65,718,902 ",Beverages
California,3/5/2020,"  523,453,599 ",Beverages
